id,genres,keywords,name,platforms,slug,summary,total_rating,total_rating_count,game_type,game_status,cover_url
303304,"['Adventure', 'Indie']",,Murky Divers,[6],murky-divers,"Co-op diving horror. Eliminate all traces of your employer's failed experiments from their abandoned underwater labs. Navigate your submarine, dive down with your crew, remove all corpses, but watch out for the abyssal terrors lurking.",66.43190520070397,6,0,,https://images.igdb.com/igdb/image/upload/t_cover_big/co89oh.jpg
36977,"['Shooter', 'Indie']","[844, 1961, 3586]",Deep Space Waifu,[6],deep-space-waifu,"Discover your perfect waifu amidst explosions! This is an casual strip 'em up action game, full of colors and girls! Destroy alien colonies and do some CLOTH DAMAGE in giant girls! Seek your path to the perfect date! Just remember - Girls will be watching. So don't muck it up, buck-o!",46.92939434564646,16,0,,https://images.igdb.com/igdb/image/upload/t_cover_big/co3oau.jpg
9160,"['Platform', 'Adventure']","[78, 669, 1059, 1228, 1756, 2170, 2242, 2324, 2415, 2841, 3079, 3486, 4142, 4292, 4297, 4725, 4844, 5296, 5436, 5722, 10756]",Little Nemo: The Dream Master,"[99, 18]",little-nemo-the-dream-master,"Little Nemo: The Dream Master is a platform game that revolves around a young boy in his own surreal dreams as he journeys to Slumberland. Nemo can ride certain animals such as a frog, a gorilla, or a mole, by feeding them candy. Each animal has its own skills needed to complete each level. The purpose of the game is to travel to the Nightmare land to rescue Morpheus, the king of Slumberland, from the clutches of the evil Nightmare King. The game is based on the Japanese animated film, Little Nemo: Adventures in Slumberland, which itself is based on the comic strip Little Nemo in Slumberland.",76.01195793416998,22,0,,https://images.igdb.com/igdb/image/upload/t_cover_big/co5x43.jpg
4348,"['Platform', 'Adventure']","[3, 129, 429, 558, 840, 1033, 1102, 1188, 1345, 1886, 1961, 2109, 2199, 2324, 2529, 4138, 4397, 4541, 4560, 4613, 4784, 4928, 4940, 4956, 5264, 5533, 5703, 6457, 7048, 7097, 7305, 7473, 8218, 8779, 8896, 8983, 9045, 9374, 10336, 32424]",Out of This World,"[63, 16, 24]",out-of-this-world,"Out of This World (Another World in Europe) is a cinematic platformer that uses vector-based graphics and rotoscoped animations to deliver a minimalistic yet expressive visual style. It features a combination of action, platforming, and puzzle-solving mechanics, with a deliberate lack of HUD and textual guidance. Gameplay emphasizes trial-and-error, timing, and exploration, with a limited checkpoint system.

In 2005, a homebrew port of the Atari ST version was released for the Game Boy Advance, officially allowed by Éric Chahi to be published with the original assets.",84.31778528919351,199,0,,https://images.igdb.com/igdb/image/upload/t_cover_big/co9ssg.jpg
5641,"['Puzzle', 'Role-playing (RPG)']","[96, 147, 226, 415, 592, 1158, 1345, 2066, 4134, 4138, 4284, 4353, 4390, 4404, 4468, 4787, 5450, 6074, 7161, 7303, 7463]",Might & Magic X: Legacy,"[6, 14]",might-and-magic-x-legacy--1,"After a decade, a Might & Magic RPG is back with both the unique core formula and a new set of improved and fine-tuned features. In the wake of the spectacular events in Might & Magic Heroes VI, you will play in a party of four adventurers entangled in intrigue and political machinations unfolding in and around Karthal. The city, on the verge of secession, is prey to competing factions vying for its control. Your actions will determine the fate of the city.

Might & Magic X Legacy is an authentic solo experience in the classic first-person RPG genre. Create and lead your group into an exciting open world and battle mythical powerful creatures while collecting ancient magical treasures!",77.8018416427521,21,0,,https://images.igdb.com/igdb/image/upload/t_cover_big/co2qow.jpg
9528,"['Shooter', 'Platform']","[558, 1059, 1228, 1289, 1986, 2152, 2387, 4138, 4256, 4397, 4472, 4484, 4791, 4992, 12970, 23933]",The Adventures of Captain Comic,[13],the-adventures-of-captain-comic,"The Adventures of Captain Comic is a platformer featuring a huge nonlinear playfield divided into several different terrains. As Comic, you must search throughout Tambi for power ups and items that will aid you in your quest to recover the three treasures. The Captain's main weapon is 'Blastola Cola', a can of drink that allows him to hurl fireballs at his foes. For each can that he finds, an additional fireball can be thrown.",77.7458700218954,8,0,,https://images.igdb.com/igdb/image/upload/t_cover_big/co4g76.jpg
21422,['Shooter'],"[19, 563, 1107, 1971, 3831, 4359, 4613, 5587, 5789, 5886, 6021, 7016]",Brothers in Arms DS,[20],brothers-in-arms-ds,"Brothers In Arms DS brings all the action and strategy of the series to a handheld, utilizing the DS Touch Screen to control the squad. Fight in 16 different missions and use a wide range of weapons such as bazookas, sniper rifles, and grenades, or fight in major multiplayer battles with three of your friends in different multiplayer modes.",63.66666666666666,4,0,,https://images.igdb.com/igdb/image/upload/t_cover_big/co7rhu.jpg
1612,['Fighting'],"[61, 129, 137, 558, 1231, 1329, 2071, 4164, 4179, 4282, 4286, 4298, 4359, 4544, 4545, 4760, 4891, 4903, 5029, 5323, 5820, 5908, 6493, 6494, 6537, 6716, 7062, 7481, 8670, 9453, 9529, 10435, 10669]",Mortal Kombat: Deadly Alliance,"[11, 21, 8]",mortal-kombat-deadly-alliance,"Mortal Kombat: Deadly Alliance is the first Mortal Kombat outing on the next-gen systems. New to DA is a completely revamped fight engine. The graphics are in full 3D and feature somewhat interactive environments. Each character now has different fighting stances, allowing them to be in an offensive stance or a fatality stance.

Returning from past games are all your favorite fighters, and a host of new ones. Johnny Cage, Scorpion, Sub-Zero, Raiden, joined by such newcomers as Molloch and Quan Chi. Each character has their own specific fatalities.",65.52159544985622,92,0,,https://images.igdb.com/igdb/image/upload/t_cover_big/co20kf.jpg
142549,"['Platform', 'Puzzle', 'Adventure', 'Indie']","[287, 308, 1495, 1629, 4928]",Viewfinder,"[169, 48, 6, 167, 130]",viewfinder,Viewfinder is a puzzle game where you can reshape the world around you by taking photos with an instant camera.,83.56763482149773,100,0,,https://images.igdb.com/igdb/image/upload/t_cover_big/coaev1.jpg
149275,"[""Hack and slash/Beat 'em up"", 'Adventure']","[1286, 3934, 4142, 4310, 4960, 11696, 19132]",Spider-Man 2: The Game,"[6, 14]",spider-man-2-the-game,"""Spider-Man 2"" for PC and Mac is an almost completely different game than its console counterpart. This is not a port from the console version, but a different version developed by The Fizz Factor and published by Activision.

As Spider-Man you must battle out through 8 chapters of mischief and mayhem to succeed. Along the way you will encounter and have to battle old foes like Rhino, Mysterio, Puma, Doc Ock and more. The game interface consists of a simple point and click system coupled with keyboard movement. Unlike it's console counterpart there is no free swinging movement but one designed with kids in mind.

Fighting consists of basic punching, kicking, jumpkicks and a power meter that let's you do a supercharged attack. 'Spidey' can also zip to walls and objects and use his web to do basic attacks on enemies.",70.76691331696236,33,0,,https://images.igdb.com/igdb/image/upload/t_cover_big/co4es6.jpg
